Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Cosmos 2461,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19128.0,19135.0,0.000137,64.77,675.81,3/1/2010,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007B,36401.0
Cosmos 2464,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,18909.0,19123.0,0.00421,64.82,671.2,9/2/2010,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-041C,37139.0
Cosmos 2465,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19116.0,19380.0,0.00515,64.84,680.43,9/2/2010,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-041B,37138.0
Cosmos 2466,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19079.0,19175.0,0.00188,64.84,675.61,9/2/2010,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-041A,37137.0
Cosmos 2474,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19126.0,19158.0,0.000627,64.82,676.2,10/2/2011,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-055A,37829.0
Cosmos 2476,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19142.0,19204.0,0.00121,64.8,677.46,11/4/2011,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064A,37867.0
Cosmos 2477,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19150.0,19199.0,0.000959,64.8,677.5,11/4/2011,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064B,37868.0
Cosmos 2475,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19139.0,19212.0,0.00143,64.78,677.54,11/4/2011,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064C,37869.0
Cosmos 2478,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19130.0,19162.0,0.000627,64.82,676.38,11/27/2011,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-071A,37938.0
Cosmos 2485,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19087.0,19173.0,0.00169,64.77,675.73,4/26/2013,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2013-019A,39155.0
Cosmos 2514,NR,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19106.0,19154.0,0.000941,64.8,675.75,2/7/2016,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-008A,41330.0
Cosmos 2516,NR,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19094.0,19153.0,0.00116,64.8,675.49,5/29/2016,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-032A,41554.0
Cosmos 2491,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19084.0,19177.0,0.00182,64.81,675.74,3/23/2014,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-012A,39620.0
Cosmos 2500,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19114.0,19146.0,0.000627,64.77,675.73,6/14/2014,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-032A,40001.0
GOES-13,USA,NOAA (National Oceanographic and Atmospheric Administration),USA,Government,Earth Observation,GEO,35768.0,35801.0,0.000391,0.28,1436,5/24/2006,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2006-018A,29155.0
GOES-14,USA,NOAA (National Oceanographic and Atmospheric Administration),USA,Government,Earth Observation,GEO,35170.0,35170.0,0.0,0.0,1436,6/27/2009,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2009-033A,35491.0
GOES-15,USA,NOAA (National Oceanographic and Atmospheric Administration),USA,Government,Earth Observation,GEO,35786.0,35788.0,2.37e-05,0.42,1436.14,3/4/2010,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-008A,36411.0
GOES-3,USA,"University of Miami, Rosenstiel School of Marine and Atmospheric Science (RSMAS) (loaned by NOAA)",USA,Civil,Communications,GEO,35772.0,35800.0,0.000332,14.3,1436.08,6/16/1978,Ford Aerospace,USA,Cape Canaveral,Delta 2914,1978-062A,10953.0
Göktürk 2,NR,Turkish Ministry of National Defense,Turkey,Military,Earth Observation,LEO,669.0,690.0,0.00149,98.16,98.35,12/18/2012,TÜBİTAK Space Technologies Research Institute/Turkish Aerospace Industries,Turkey,Jiuquan Satellite Launch Center,Long March 2D,2012-073A,39030.0
GOMX-3,NR,GomSpace ApS,Denmark,Commercial,Technology Development,LEO,394.0,409.0,0.00111,51.64,92.6,10/5/2015,GomSpace/ESA,Denmark,International Space Station,Nanorack Deployer,1998-067HA,40949.0
Gonets D1-14,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1407.0,1413.0,0.000386,82.5,114,2/19/1996,NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1996-009B,23788.0
Gonets M-03,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1478.0,1510.0,0.00203,82.5,115.9,7/28/2012,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2012-041B,38734.0
Gonets M-04,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1480.0,1511.0,0.00197,82.5,115.9,7/28/2012,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2012-041D,38736.0
Gonets M-05,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1497.0,1510.0,0.000826,82.5,116.1,9/8/2010,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2010-043B,37153.0
Gonets M-11,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1497.0,1508.0,0.000699,82.4,116,3/31/2015,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020A,40552.0
Gonets M-12,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1494.0,1506.0,0.000762,82.4,116,3/31/2015,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020B,40553.0
Gonets M-13,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1171.0,1504.0,0.0216,82.4,116,3/31/2015,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2015-020C,40554.0
Gonets M-14,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1482.0,1507.0,0.00159,82.49,115.86,9/11/2013,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048A,39249.0
Gonets M-16,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1493.0,1508.0,0.000953,82.49,116,9/11/2013,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048B,39250.0
Gonets M-17,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1494.0,1509.0,0.000953,92.49,116.02,9/11/2013,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2013-048C,39251.0
Gonets M-18,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1479.0,1510.0,0.00197,82.52,115.87,7/3/2014,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036A,40061.0
Gonets M-19,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1480.0,1512.0,0.00203,82.51,115.89,7/3/2014,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036B,40062.0
Gonets M-20,Russia,Gonets Satcom,Russia,Commercial/Government,Communications,LEO,1478.0,1509.0,0.00197,82.51,115.84,7/3/2014,M.F. Reshetnev Information Satellite Systems,Russia,Plesetsk Cosmodrome,Rokot,2014-036C,40063.0
GPM Core Observatory,NR,NASA/JAXA,USA/Japan,Government,Earth Observation,LEO,392.0,409.0,0.00126,65.02,92.57,2/27/2014,NASA/Goddard Space Flight Center,USA,Tanegashima Space Center,H2A,2014-009C,39574.0
"Gravity Recovery and Climate Experiment (Grace 1, ""Tom and Jerry"")",Germany/USA,"GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Germany/USA,Civil,Earth Observation,LEO,396.0,404.0,0.000591,89.0,93.4,3/17/2002,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012A,27391.0
"Gravity Recovery and Climate Experiment (Grace 2, ""Tom and Jerry"")",Germany/USA,"GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Germany/USA,Civil,Earth Observation,LEO,396.0,404.0,0.000591,89.0,93.4,3/17/2002,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012B,27392.0
Ibuki,Japan,Japan Aerospace Exploration Agency (JAXA),Japan,Civil,Earth Observation,LEO,668.0,670.0,0.000142,98.1,98.1,1/23/2009,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2009-002A,33492.0
GRIFEX,NR,University of Michigan/NASA Earth Science Technology Office,USA,Government/Civil,Technology Development,LEO,441.0,659.0,0.0158,99.1,95.5,1/31/2015,"Michigan Exploration Laboratory, University of Michigan",USA,Vandenberg AFB,Delta 2,2015-003D,40379.0
GSAT-10,India,Indian Space Research Organization (ISRO),India,Government,Communications,GEO,35777.0,35795.0,0.000213,0.06,1436.07,9/28/2012,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2012-051B,38779.0
GSAT-12,India,Indian Space Research Organization (ISRO),India,Government,Communications,GEO,35761.0,35811.0,0.000593,0.09,1436.1,7/15/2011,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C17,2011-034A,37746.0
GSAT-14,India,Indian Space Research Organization (ISRO),India,Government,Communications,GEO,35763.0,35810.0,0.000557,0.23,1436.1,1/5/2014,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV,2014-001A,39498.0
GSAT-15,NR,Indian Space Research Organization (ISRO),India,Government,Communications,GEO,35782.0,35805.0,0.000273,0.1,1436.1,1/10/2015,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2015-065A,41028.0
GSAT-16,NR,Indian Space Research Organization (ISRO),India,Government,Communications,GEO,35776.0,35798.0,0.000261,0.18,1436.1,12/6/2014,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2014-078A,40332.0
GSAT-2,India,Indian Space Research Organization (ISRO),India,Government,Communications/Technology Development,GEO,35776.0,35796.0,0.000237,0.04,1436.07,5/8/2003,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV D2,2003-018A,27807.0
GSAT-6,NR,Indian National Satellite (INSAT),India,Government/Commercial,Communications,GEO,35775.0,35775.0,0.0,0.0,1436.1,8/27/2015,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV,2015-041A,40880.0
GSAT-7,India,Indian National Satellite System ,India,Military,Communications,GEO,35757.0,35814.0,0.000676,0.19,1436,8/29/2013,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2013-044B,39234.0
GSAT-8,India,Indian Space Research Organization (ISRO),India,Government,Communications/Navigation,GEO,35782.0,35796.0,0.000166,0.09,1436.23,5/20/2011,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37605.0
USA 253,USA,Air Force Satellite Control Network,USA,Military,Space Observation,GEO,35749.0,35757.0,9.5e-05,0.03,1434,7/28/2014,Orbital Sciences Corp.,USA,Cape Canaveral,Delta 4M,2014-043A,40099.0
Haiyang 2A,China,State Oceanic Administration (SOA),China,Government,Earth Observation,LEO,965.0,967.0,0.000136,99.4,104.4,8/15/2011,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2011-043A,37781.0
Helios 2A,NR,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),France/Italy/Belgium/Spain/Greece,Military,Earth Observation,LEO,681.0,683.0,0.000142,98.1,98,12/18/2004,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049A,28492.0
Helios 2B,France,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),France/Italy/Belgium/Spain/Greece,Military,Earth Observation,LEO,679.0,682.0,0.000213,98.1,98.37,12/18/2009,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-073A,36124.0
HellasSat 2,Greece,Hellas-Sat Consortium Ltd.,Greece,Commercial,Communications,GEO,35769.0,35803.0,0.000403,0.01,1436.08,5/12/2003,Astrium,"France, UK, Germany",Cape Canaveral,Atlas 5,2003-020A,27811.0
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),USA,"Space Sciences Laboratory, UC Berkeley/NASA",USA,Government/Civil,Space Science,LEO,535.0,551.0,0.00116,38.0,95.5,2/5/2002,"Spectrum Astro, Inc.",USA,Cape Canaveral,Pegasus,2002-004A,27370.0
Himawari 8,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan,Government,Earth Observation,GEO,35774.0,35797.0,0.000273,0.08,1436.06,10/7/2014,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2014-060A,40267.0
Hinode,Japan,Institute of Space and Aeronautical Science/NASA,Multinational,Government,Space Science,LEO,670.0,696.0,0.00184,98.1,98.4,10/22/2006,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V,2006-041A,29479.0
Hisaki,Japan,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Space Science,Elliptical,952.0,1155.0,0.0137,31.0,106.27,9/14/2013,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2013-049A,39253.0
Hispasat 1C,Spain,Hispasat,Spain,Commercial/Gov/Mil,Communications,GEO,35764.0,35808.0,0.000522,0.03,1436.08,2/4/2000,Alcatel Space Industries,France,Cape Canaveral,Atlas 2AS,2000-007A,26071.0
Hispasat 1D,Spain,Hispasat,Spain,Commercial/Gov/Mil,Communications,GEO,35764.0,35809.0,0.000534,0.02,1436.11,9/18/2002,Aerospatiale (Alcatel Space Industries),France,Cape Canaveral,Atlas 2AS,2002-044A,27528.0
Hispasat 1E,NR,Hispasat,Spain,Commercial,Communications,GEO,35782.0,35786.0,4.74e-05,0.07,1435.95,12/29/2010,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2010-070A,37264.0
HJ-1A,China,National Remote Sensing Center (NRSCC),China,Government,Earth Observation,LEO,628.0,665.0,0.00264,97.8,97.7,9/5/2008,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2008-041A,33320.0
HJ-1B,China,National Remote Sensing Center (NRSCC),China,Government,Earth Observation,LEO,621.0,673.0,0.00371,97.8,97.7,9/5/2008,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2008-041B,33321.0
HJ-1C,China,National Committee for Disaster Reduction and State Environmental Protection,China,Government,Earth Observation,LEO,420.0,438.0,0.00132,97.33,94.53,11/18/2012,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 2C,2012-064A,38997.0
Hodoyoshi-1,NR,University of Tokyo and NESTRA,Japan,Government,Earth Observation,LEO,506.0,525.0,0.00138,97.48,94.93,11/6/2014,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-070B,40299.0
Hodoyoshi-3,Japan,University of Tokyo and NESTRA,Japan,Government,Technology Development,LEO,613.0,666.0,0.00378,97.98,97.51,6/19/2014,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033F,40015.0
Hodoyoshi-4,Japan,University of Tokyo and NESTRA,Japan,Government,Technology Development,LEO,613.0,650.0,0.00264,97.99,97.35,6/19/2014,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033B,40011.0
Horizons 2,USA,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",USA/Japan,Commercial,Communications,GEO,35777.0,35796.0,0.000225,0.0,1436.1,12/21/2007,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-063B,32388.0
Horyu-2,Japan,Kyushu Institute of Technology (KIT),Japan,Civil,Technology Development,LEO,650.0,669.0,0.00135,98.2,97.9,5/17/2012,Kyushu Institute of Technology (KIT),Japan,Tanegashima Space Center,H-2A,2012-025D,38340.0
Horyu-4,NR,Kyushu Institute of Technology (KIT),Japan,Civil,Technology Development,LEO,557.0,579.0,0.00159,31.0,96,2/17/2016,Kyushu Institute of Technology (KIT),Japan,Tanegashima Space Center,H-2A,2016-012D,41340.0
Hubble Space Telescope,USA,European Space Agency/NASA,ESA/USA,Government,Space Science,LEO,555.0,559.0,0.000289,28.5,95.8,4/25/1990,European Space Agency/NASA,International,Cape Canaveral,Space Shuttle (STS 31),1990-037B,20580.0
HumSat-D,NR,University of Vigo,Spain,Civil,Technology Development,LEO,590.0,640.0,0.00358,97.8,96.9,11/21/2013,University of Vigo,Spain,Dombarovsky Air Base,Dnepr,2013-066T,39433.0
HYLAS 1,United Kingdom,"Avanti Communications, PLC",United Kingdom,Commercial,Communications,GEO,35770.0,35803.0,0.000391,0.01,1436.07,11/26/2010,EADS Astrium,France,Guiana Space Center,Ariane 5,2010-065A,37237.0
HYLAS 2,United Kingdom,"Avanti Communications, PLC",United Kingdom,Commercial,Communications,GEO,35775.0,35799.0,0.000285,0.06,1436.14,8/2/2012,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2012-043B,38741.0
IGS-3A,Japan,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,484.0,492.0,0.000583,97.3,94.37,9/11/2006,Mitsubishi,Japan,Tanegashima Space Center,H2A,2006-037A,29393.0
IGS-5A,Japan,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,484.0,492.0,0.000583,97.31,94.37,11/28/2009,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2009-066A,36104.0
IGS-6A,Japan,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,588.0,591.0,0.000216,97.69,96.47,9/23/2011,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-050A,37813.0
IGS-7A,Japan,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,512.0,514.0,0.000145,97.46,94.89,12/12/2011,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-075A,37954.0
IGS-8A,Japan,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,509.0,514.0,0.000363,97.5,94.85,1/27/2013,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2013-002A,39061.0
IGS-8B,Japan,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,512.0,523.0,0.000799,97.5,94.85,1/27/2013,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2013-002B,39062.0
IGS-9A,NR,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,510.0,510.0,0.0,97.5,94.85,1/31/2015,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2015-004A,40381.0
IGS-9B,NR,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,LEO,511.0,515.0,0.000291,97.5,95.2,3/26/2015,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2015-015A,40538.0
USA 184,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Elliptical,1111.0,37564.0,0.709,63.0,684,6/28/2006,National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4,2006-027A,29249.0
USA 200,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Elliptical,1112.0,37580.0,0.709,63.56,684,3/13/2008,National Reconnaissance Laboratory,USA ,Vandenberg AFB,Atlas 5,2008-010A,32706.0
USA 259,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Elliptical,2103.0,37746.0,0.678,62.85,707.55,12/13/2014,National Reconnaissance Laboratory,USA,Vandenberg AFB,Atlas 5,2014-081A,40344.0
INMARSAT 3 F1,NR,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35764.0,35808.0,0.000522,0.08,1436.08,4/3/1996,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-020A,23839.0
INMARSAT 3 F2,NR,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35763.0,35809.0,0.000546,0.08,1436.1,9/6/1996,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton,1996-053A,24307.0
INMARSAT 3 F3,NR,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35761.0,35810.0,0.000581,0.09,1436.07,12/18/1996,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas,1996-070A,24674.0
INMARSAT 3 F4,NR,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35609.0,35642.0,0.000393,0.06,1427.91,6/3/1997,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-027A,24819.0
INMARSAT 3 F5,NR,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35769.0,35803.0,0.000403,0.04,1436.07,2/4/1998,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1998-006B,25153.0
INMARSAT 4 F1,United Kingdom,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35772.0,35799.0,0.00032,2.3,1436.08,3/11/2005,EADS Astrium,France/UK/Germany,Cape Canaveral,Atlas 5,2005-009A,28628.0
INMARSAT 4 F2,United Kingdom,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35773.0,35800.0,0.00032,2.33,1436.11,11/8/2005,EADS Astrium,France/UK/Germany,Sea Launch (Odyssey),Zenit 3SL,2005-044A,28899.0
INMARSAT 4 F3,United Kingdom,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35775.0,35798.0,0.000273,3.01,1436.1,8/18/2008,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,2008-039A,33278.0
INMARSAT 5 F1,United Kingdom,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35784.0,35790.0,7.12e-05,0.06,1436.13,12/8/2013,Boeing,USA,Baikonur Cosmodrome,Proton M,2013-073A,39476.0
INMARSAT 5 F2,United Kingdom,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35784.0,35789.0,5.93e-05,0.03,1436,2/1/2015,Boeing,USA,Baikonur Cosmodrome,Proton M,2015-005A,40384.0
INMARSAT 5 F3,United Kingdom,"INMARSAT, Ltd.",United Kingdom,Commercial,Communications,GEO,35780.0,35780.0,0.0,0.0,1436.1,8/28/2015,Boeing,USA,Baikonur Cosmodrome,Proton M,2015-042A,40882.0
INSAT 3A,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,GEO,35780.0,35793.0,0.000154,0.0,1436.1,4/9/2003,ISRO Satellite Center,India,Guiana Space Center,Ariane 5,2003-013A,27714.0
